ensembl_gene_id	external_gene_name	gene_biotype	go_id	name_1006
WBGene00000001	aap-1	protein_coding		
WBGene00000002	aat-1	protein_coding	GO:0016020; GO:0022857; GO:0055085	membrane; transmembrane transporter activity; transmembrane transport
WBGene00000003	aat-2	protein_coding	GO:0016020; GO:0022857; GO:0055085	membrane; transmembrane transporter activity; transmembrane transport
WBGene00000004	aat-3	protein_coding	GO:0016020; GO:0022857; GO:0055085	membrane; transmembrane transporter activity; transmembrane transport
WBGene00000005	aat-4	protein_coding	GO:0016020; GO:0022857; GO:0055085; 	membrane; transmembrane transporter activity; transmembrane transport; 
WBGene00000006	aat-5	protein_coding	GO:0016020; GO:0022857; GO:0055085; 	membrane; transmembrane transporter activity; transmembrane transport; 
WBGene00000007	aat-6	protein_coding	GO:0016020; GO:0022857; GO:0055085	membrane; transmembrane transporter activity; transmembrane transport
WBGene00000008	aat-7	protein_coding	GO:0016020; GO:0022857; GO:0055085	membrane; transmembrane transporter activity; transmembrane transport
WBGene00000009	aat-8	protein_coding	GO:0016020; GO:0022857; GO:0055085	membrane; transmembrane transporter activity; transmembrane transport
WBGene00000010	aat-9	protein_coding	GO:0016020; GO:0022857; GO:0055085	membrane; transmembrane transporter activity; transmembrane transport
WBGene00000012	abf-1	protein_coding	GO:0098542	defense response to other organism
WBGene00000013	abf-2	protein_coding	GO:0098542	defense response to other organism
WBGene00000014	abf-3	protein_coding		
WBGene00000015	abf-4	protein_coding		
WBGene00000016	abf-5	protein_coding		
WBGene00000017	abf-6	protein_coding		
WBGene00000018	abl-1	protein_coding	GO:0005524; GO:0005515; GO:0006468; GO:0004672; GO:0004713; GO:0004715	ATP binding; protein binding; protein phosphorylation; protein kinase activity; protein tyrosine kinase activity; non-membrane spanning protein tyrosine kinase activity
WBGene00000019	abt-1	protein_coding	GO:0005524	ATP binding
WBGene00000020	abt-2	protein_coding	GO:0005524; GO:0016020; GO:0055085; GO:0016887; GO:0140359	ATP binding; membrane; transmembrane transport; ATP hydrolysis activity; ABC-type transporter activity
WBGene00000021		pseudogene		
WBGene00000022	abt-4	protein_coding	GO:0005524; GO:0016020; GO:0055085; GO:0016887; GO:0140359	ATP binding; membrane; transmembrane transport; ATP hydrolysis activity; ABC-type transporter activity
WBGene00000023	abt-5	protein_coding	GO:0005524; GO:0016020; GO:0055085; GO:0016887; GO:0140359	ATP binding; membrane; transmembrane transport; ATP hydrolysis activity; ABC-type transporter activity
WBGene00000024	abu-1	protein_coding		
WBGene00000025	abu-2	protein_coding		
WBGene00000026		pseudogene		
WBGene00000027	abu-4	protein_coding		
WBGene00000028	abu-5	protein_coding		
WBGene00000029	abu-6	protein_coding		
WBGene00000030	abu-7	protein_coding		
WBGene00000031	abu-8	protein_coding		
WBGene00000032	abu-9	protein_coding		
WBGene00000033	abu-10	protein_coding		
WBGene00000034	abu-11	protein_coding		
WBGene00000035	ace-1	protein_coding	GO:0004104	cholinesterase activity
WBGene00000036	ace-2	protein_coding	GO:0004104	cholinesterase activity
WBGene00000037	ace-3	protein_coding	GO:0004104	cholinesterase activity
WBGene00000038	ace-4	protein_coding	GO:0004104	cholinesterase activity
WBGene00000039	acn-1	protein_coding	GO:0016020; GO:0006508; GO:0008237; GO:0008241	membrane; proteolysis; metallopeptidase activity; peptidyl-dipeptidase activity
WBGene00000040	aco-1	protein_coding		
WBGene00000041	aco-2	protein_coding	GO:0051539; GO:0006099; GO:0003994	4 iron, 4 sulfur cluster binding; tricarboxylic acid cycle; aconitate hydratase activity
WBGene00000042	acr-2	protein_coding	GO:0016020; GO:0004888; GO:0005216; GO:0006811; GO:0022848; GO:0045211; GO:0034220; GO:0005230	membrane; transmembrane signaling receptor activity; monoatomic ion channel activity; monoatomic ion transport; acetylcholine-gated monoatomic cation-selective channel activity; postsynaptic membrane; monoatomic ion transmembrane transport; extracellular ligand-gated monoatomic ion channel activity
WBGene00000043	acr-3	protein_coding	GO:0016020; GO:0004888; GO:0005216; GO:0006811; GO:0022848; GO:0045211; GO:0034220; GO:0005230	membrane; transmembrane signaling receptor activity; monoatomic ion channel activity; monoatomic ion transport; acetylcholine-gated monoatomic cation-selective channel activity; postsynaptic membrane; monoatomic ion transmembrane transport; extracellular ligand-gated monoatomic ion channel activity
WBGene00000044	acr-5	protein_coding	GO:0016020; GO:0004888; GO:0005216; GO:0006811; GO:0034220; GO:0005230	membrane; transmembrane signaling receptor activity; monoatomic ion channel activity; monoatomic ion transport; monoatomic ion transmembrane transport; extracellular ligand-gated monoatomic ion channel activity
WBGene00000045	acr-6	protein_coding	GO:0016020; GO:0004888; GO:0005216; GO:0006811; GO:0022848; GO:0045211; GO:0034220; GO:0005230	membrane; transmembrane signaling receptor activity; monoatomic ion channel activity; monoatomic ion transport; acetylcholine-gated monoatomic cation-selective channel activity; postsynaptic membrane; monoatomic ion transmembrane transport; extracellular ligand-gated monoatomic ion channel activity
WBGene00000046	acr-7	protein_coding	GO:0016020; GO:0004888; GO:0005216; GO:0006811; GO:0034220; GO:0005230	membrane; transmembrane signaling receptor activity; monoatomic ion channel activity; monoatomic ion transport; monoatomic ion transmembrane transport; extracellular ligand-gated monoatomic ion channel activity
