gid	gid_	n	pearson_stat	pearson_p	spearman_corr	spearman_p
ENSG00000223972.5	ENSG00000227232.5	5280	0.3429162664535568	1.339952347464628e-145	0.38277389076580526	7.622235622084775e-184
ENSG00000223972.5	ENSG00000278267.1	176	0.2869376622967377	0.00011290404571321041	0.43596397966977696	1.4683311581621017e-09
ENSG00000223972.5	ENSG00000243485.5	2115	0.3998279073346023	5.1610522081747584e-82	0.4428655061112866	2.63773780815163e-102
ENSG00000223972.5	ENSG00000237613.2	1330	0.39176398524471	4.97624829453895e-50	0.4573716483503088	9.979344737614908e-70
ENSG00000223972.5	ENSG00000268020.3	2935	0.20568629543105657	2.0904545600937773e-29	0.19091506141046666	1.7223715165932946e-25
ENSG00000223972.5	ENSG00000240361.1	3619	0.1596319167269349	4.378568872939908e-22	0.11496890921297406	4.006920618958579e-12
ENSG00000223972.5	ENSG00000186092.4	3718	0.07023966430941117	1.813086994874294e-05	0.047312702174574804	0.003907216732829208
ENSG00000223972.5	ENSG00000238009.6	3692	0.502558632890848	1.4442765589796122e-235	0.42062666942967897	3.0055249059394504e-158
ENSG00000223972.5	ENSG00000233750.3	4194	0.42750900222941407	5.491530477725952e-186	0.4233404861339374	4.852692405500338e-182
ENSG00000223972.5	ENSG00000268903.1	5241	0.4023772676383051	3.1663192719189977e-203	0.3736456536949851	2.525720608384669e-173
ENSG00000223972.5	ENSG00000269981.1	5204	0.4058726751369241	1.2682095214527105e-205	0.3814309647559205	7.224189120017383e-180
ENSG00000223972.5	ENSG00000239906.1	2618	0.36234539104079666	4.7686663871523737e-82	0.3692222525116477	2.3493947103964887e-85
ENSG00000223972.5	ENSG00000241860.6	5248	0.30002266917823334	1.2958753169288018e-109	0.32575147215213573	5.5136373729257585e-130
ENSG00000223972.5	ENSG00000222623.1	59	0.24021121389940087	0.0668691471799167	0.3066627703097604	0.018159464004728162
ENSG00000223972.5	ENSG00000241599.1	306	0.517752616301317	2.1968642477977495e-22	0.5658028399421406	2.710026121959876e-27
ENSG00000223972.5	ENSG00000279928.2	3767	0.6250217708540797	0.0	0.5061346307195933	2.85865402845075e-244
ENSG00000223972.5	ENSG00000279457.4	5280	0.3952987629879212	5.086313485380941e-197	0.41722733636819836	1.6639202113835387e-221
ENSG00000223972.5	ENSG00000273874.1	97	0.2953352076320401	0.0033160349646271735	0.4797477883841578	6.623936266756598e-07
ENSG00000223972.5	ENSG00000228463.9	5254	0.3028485655150323	7.050696358862963e-112	0.2876042565006044	1.3086320576562683e-100
ENSG00000223972.5	ENSG00000236679.2	3155	0.33152113343665096	8.248554129625205e-82	0.3508297552205777	4.804943757563191e-92
ENSG00000223972.5	ENSG00000236743.1	300	0.20518775458266614	0.00034722048544135007	0.3530186545675714	3.1201082075814177e-10
ENSG00000223972.5	ENSG00000236601.2	2201	0.280763116032857	3.7396488886742306e-41	0.32163245623395403	3.7911314716515484e-54
ENSG00000223972.5	ENSG00000237094.11	5276	0.5354567397411716	0.0	0.4534894769620155	5.1456933961375445e-266
ENSG00000223972.5	ENSG00000269732.1	2864	0.18940409820722354	1.540674195306133e-24	0.1984566385413566	7.950495837405554e-27
ENSG00000223972.5	ENSG00000278566.1	3415	0.12347630878106601	4.460770657289326e-13	0.10881464886565881	1.8234171943241818e-10
ENSG00000223972.5	ENSG00000233653.3	2694	0.3124477012091943	4.390480531098461e-62	0.3558534415637232	3.063645859909796e-81
ENSG00000223972.5	ENSG00000250575.1	3281	0.4978498092121841	4.400509478752527e-205	0.4898651084243631	1.1955559718178243e-197
ENSG00000223972.5	ENSG00000278757.1	127	0.14170768550417961	0.1120140166306141	0.2893772089038684	0.0009676551298243918
ENSG00000223972.5	ENSG00000230021.8	4816	0.41962972510912605	9.143814772709905e-205	0.29697645084645236	1.17771779260152e-98
ENSG00000223972.5	ENSG00000235146.2	248	0.33377857049490267	7.243719259128665e-08	0.375970624444644	9.549161785374053e-10
ENSG00000223972.5	ENSG00000225972.1	5280	-0.012379971957080595	0.36844235029912265	-0.12996606272034517	2.49918305910661e-21
ENSG00000223972.5	ENSG00000225630.1	5280	-0.15688953299934527	1.8981834383169373e-30	-0.2540331505720705	1.5098753056079418e-78
ENSG00000223972.5	ENSG00000237973.1	5280	-0.19658322096889158	3.762533435992072e-47	-0.2897772816471598	1.1384817481725508e-102
ENSG00000223972.5	ENSG00000229344.1	5280	-0.14624972108308787	1.2358412793101191e-26	-0.22798981617260516	3.187436328641679e-63
ENSG00000223972.5	ENSG00000240409.1	5277	-0.09813039476212507	9.062623501875867e-13	-0.11936293797704882	3.3205485193006214e-18
ENSG00000223972.5	ENSG00000248527.1	5280	-0.2125171282618341	5.5487650421657625e-55	-0.3328275677086876	9.133422205749603e-137
ENSG00000223972.5	ENSG00000198744.5	5280	-0.0933816304411321	1.0556800946177432e-11	-0.14913599690715115	1.2153406113275586e-27
ENSG00000223972.5	ENSG00000268663.1	2396	0.21438243064673637	2.622733931649941e-26	0.2481118810021065	6.107055865771966e-35
ENSG00000223972.5	ENSG00000273547.1	3055	0.16940162945581627	4.1975303142594216e-21	0.1863162736908983	2.9039413115232664e-25
ENSG00000223972.5	ENSG00000283574.1	0	None	None	None	None
