SAMPLE_ACC,Sample Type,SAMPLE_VOLUME,VOLUME_UNIT,FILTER_MIN,FILTER_MAX,SAMPLE_DESCRIPTION,SAMPLE_NAME,COMMENTS,TAXON_ID,COLLECTION_START_TIME,COLLECTION_STOP_TIME,BIOMATERIAL_NAME,DESCRIPTION,MATERIAL_ACC,SITE_NAME,LATITUDE,LONGITUDE,ALTITUDE,SITE_DEPTH,SITE_DESCRIPTION,COUNTRY_NAME,REGION,HABITAT_NAME,HOST_TAXON_ID,HOST_DESCRIPTION,HOST_ORGANISM,LIBRARY_ACC,SEQUENCING_METHOD,DNA_TYPE,NUM_OF_READS,MATERIAL_ID,sample depth - (m),Ammonium - (umol/kg),Silicate - (umol/kg),Total phosphorus,salinity - (psu),temperature - (C),nitrite - (µmol/l),phosphate - (umol/kg),nitrate(NO3) - (umol/l)
"CAM_SMPL_003356","metagenome",190,"L",0.1,0.8,,"GS682_0.1",,,2009-07-19 15:47:00.0,2009-07-19 15:47:00.0,"GS682_0.1 - German Baltic Sample-IOW Station",,"CAM_BM_003411","German Baltic Sample, IOW Station",13.482215,54.9295,,,,"GERMANY","Baltic Sea","aquatic habitat",,,,"CAM_LIB_002180","pyrosequencing (454)","gDNA",430684,3785,"24",".263","7.079",".395","8","9.47",".033",".208",".212"
"CAM_SMPL_003357","metagenome",190,"L",0.8,3,,"GS682_0.8",,,2009-07-19 15:47:00.0,2009-07-19 15:47:00.0,"GS682_0.8 - German Baltic Sample-IOW Station",,"CAM_BM_003412","German Baltic Sample, IOW Station",13.482215,54.9295,,,,"GERMANY","Baltic Sea","aquatic habitat",,,,"CAM_LIB_002181","pyrosequencing (454)","gDNA",390262,3786,"24",".263","7.079",".395","8","9.47",".033",".208",".212"
"CAM_SMPL_003358","metagenome",190,"L",3,200,,"GS682_3.0",,,2009-07-19 15:47:00.0,2009-07-19 15:47:00.0,"GS682_3.0 - German Baltic Sample-IOW Station",,"CAM_BM_003413","German Baltic Sample, IOW Station",13.482215,54.9295,,,,"GERMANY","Baltic Sea","aquatic habitat",,,,"CAM_LIB_002182","pyrosequencing (454)","gDNA",225255,3787,"24",".263","7.079",".395","8","9.47",".033",".208",".212"
"CAM_SMPL_003359","metagenome",180,"L",0.1,0.8,,"GS683_0.1",,,2009-07-22 15:20:00.0,2009-07-22 15:20:00.0,"GS683_0.1 - Danish sample site DMU 939",,"CAM_BM_003414","DMU 939, Denmark",11.332183,54.570232,,,,"DENMARK","Baltic Sea","aquatic habitat",,,,"CAM_LIB_002183","pyrosequencing (454)","gDNA",335928,3788,"1",".188","7.258",".458","13.72","18.15",,".073",".336"
"CAM_SMPL_003360","metagenome",180,"L",0.8,3,,"GS683_0.8",,,2009-07-22 15:20:00.0,2009-07-22 15:20:00.0,"GS683_0.8 - Danish sample site DMU 939",,"CAM_BM_003415","DMU 939, Denmark",11.332183,54.570232,,,,"DENMARK","Baltic Sea","aquatic habitat",,,,"CAM_LIB_002184","pyrosequencing (454)","gDNA",222192,3789,"1",".188","7.258",".458","13.72","18.15",,".073",".336"
"CAM_SMPL_003361","metagenome",180,"L",3,200,,"GS683_3.0",,,2009-07-22 15:20:00.0,2009-07-22 15:20:00.0,"GS683_3.0 - Danish sample site DMU 939",,"CAM_BM_003416","DMU 939, Denmark",11.332183,54.570232,,,,"DENMARK","Baltic Sea","aquatic habitat",,,,"CAM_LIB_002185","pyrosequencing (454)","gDNA",628070,3790,"1",".188","7.258",".458","13.72","18.15",,".073",".336"
"CAM_SMPL_003362","metagenome",200,"L",0.1,0.8,,"GS684_0.1",,,2009-07-22 15:20:00.0,2009-07-22 15:20:00.0,"GS684_0.1 - Danish sample site DMU 939",,"CAM_BM_003417","DMU 939, Denmark",11.332183,54.570232,,,,"DENMARK","Baltic Sea","aquatic habitat",,,,"CAM_LIB_002186","pyrosequencing (454)","gDNA",236204,3791,"15",".303","6.115",".495","16.45","17",,".136",".304"
"CAM_SMPL_003363","metagenome",200,"L",0.8,3,,"GS684_0.8",,,2009-07-22 15:20:00.0,2009-07-22 15:20:00.0,"GS684_0.8 - Danish sample site DMU 939",,"CAM_BM_003418","DMU 939, Denmark",11.332183,54.570232,,,,"DENMARK","Baltic Sea","aquatic habitat",,,,"CAM_LIB_002187","pyrosequencing (454)","gDNA",559200,3792,"15",".303","6.115",".495","16.45","17",,".136",".304"
"CAM_SMPL_003364","metagenome",200,"L",3,200,,"GS684_3.0",,,2009-07-22 15:20:00.0,2009-07-22 15:20:00.0,"GS684_3.0 - Danish sample site DMU 939",,"CAM_BM_003419","DMU 939, Denmark",11.332183,54.570232,,,,"DENMARK","Baltic Sea","aquatic habitat",,,,"CAM_LIB_002188","pyrosequencing (454)","gDNA",288368,3793,"15",".303","6.115",".495","16.45","17",,".136",".304"
"CAM_SMPL_003365","metagenome",200,"L",0.1,0.8,,"GS685_0.1",,,2009-07-23 07:24:00.0,2009-07-23 07:24:00.0,"GS685_0.1 - Kattegat-Helcom site",,"CAM_BM_003420","Kattegat-Helcom site",12.118317,56.663418,,,,"DENMARK","Baltic Sea","aquatic habitat",,,,"CAM_LIB_002189","pyrosequencing (454)","gDNA",353770,3794,"1",".25","1.417",".258","20.22","18.63",,,".285"
